Var1,Var2,PIP,trial,df,case
5,8,0.0072,23,2,1
6,8,9.6e-4,23,2,1
7,8,0,23,2,1
1,9,3.2e-4,23,2,1
2,9,4.8e-4,23,2,1
3,9,8e-4,23,2,1
4,9,1,23,2,1
5,9,0.84512,23,2,1
6,9,0,23,2,1
7,9,0,23,2,1
8,9,1.5999999999999999e-4,23,2,1
1,10,4.8e-4,23,2,1
2,10,3.1999999999999997e-4,23,2,1
3,10,0.0012799999999999999,23,2,1
4,10,6.399999999999999e-4,23,2,1
5,10,0.008,23,2,1
6,10,0.0011200000000000001,23,2,1
7,10,6.399999999999999e-4,23,2,1
8,10,0.004,23,2,1
9,10,0.00288,23,2,1
1,2,0,24,3,1
1,3,1.5999999999999999e-4,24,3,1
2,3,0,24,3,1
1,4,6.4e-4,24,3,1
2,4,0,24,3,1
3,4,9.6e-4,24,3,1
1,5,0,24,3,1
2,5,0,24,3,1
3,5,0.00176,24,3,1
4,5,0,24,3,1
1,6,0,24,3,1
2,6,0,24,3,1
3,6,0,24,3,1
4,6,0,24,3,1
5,6,0,24,3,1
1,7,0,24,3,1
2,7,0,24,3,1
3,7,1.5999999999999999e-4,24,3,1
4,7,3.2e-4,24,3,1
5,7,0,24,3,1
6,7,0,24,3,1
1,8,0,24,3,1
2,8,0,24,3,1
3,8,0,24,3,1
4,8,0,24,3,1
5,8,0,24,3,1
6,8,0,24,3,1
7,8,0,24,3,1
1,9,4.8e-4,24,3,1
2,9,0,24,3,1
3,9,0,24,3,1
4,9,1.5999999999999999e-4,24,3,1
5,9,1,24,3,1
6,9,0,24,3,1
7,9,0,24,3,1
8,9,0,24,3,1
1,10,0,24,3,1
2,10,0,24,3,1
3,10,3.1999999999999997e-4,24,3,1
4,10,1.6e-4,24,3,1
5,10,0,24,3,1
6,10,0,24,3,1
7,10,1.5999999999999999e-4,24,3,1
8,10,0,24,3,1
9,10,4.8e-4,24,3,1
1,2,0,25,3,1
1,3,0,25,3,1
2,3,0,25,3,1
1,4,0,25,3,1
2,4,0,25,3,1
3,4,0,25,3,1
1,5,0,25,3,1
2,5,0,25,3,1
3,5,0,25,3,1
4,5,0,25,3,1
1,6,0,25,3,1
2,6,0,25,3,1
3,6,0,25,3,1
4,6,0,25,3,1
5,6,0,25,3,1
1,7,0,25,3,1
2,7,0,25,3,1
3,7,0,25,3,1
4,7,0,25,3,1
5,7,0,25,3,1
6,7,0,25,3,1
1,8,0,25,3,1
2,8,0,25,3,1
3,8,0,25,3,1
4,8,0,25,3,1
5,8,0,25,3,1
6,8,0,25,3,1
7,8,1.6e-4,25,3,1
1,9,0,25,3,1
2,9,1.6e-4,25,3,1
3,9,0,25,3,1
4,9,0.0022400000000000002,25,3,1
5,9,0.0025599999999999998,25,3,1
6,9,0,25,3,1
7,9,9.6e-4,25,3,1
8,9,0,25,3,1
1,10,0,25,3,1
2,10,0,25,3,1
3,10,0,25,3,1
4,10,1.5999999999999999e-4,25,3,1
5,10,0,25,3,1
6,10,0,25,3,1
7,10,0,25,3,1
8,10,1.5999999999999999e-4,25,3,1
9,10,0,25,3,1
1,2,0,26,3,1
1,3,0,26,3,1
2,3,0,26,3,1
1,4,0,26,3,1
2,4,0,26,3,1
3,4,0,26,3,1
1,5,0,26,3,1
2,5,0,26,3,1
3,5,0,26,3,1
4,5,0.013600000000000001,26,3,1
1,6,0,26,3,1
2,6,0,26,3,1
3,6,0,26,3,1
4,6,0,26,3,1
5,6,9.6e-4,26,3,1
1,7,0,26,3,1
2,7,0,26,3,1
3,7,0,26,3,1
4,7,0,26,3,1
5,7,0,26,3,1
6,7,0,26,3,1
1,8,0,26,3,1
2,8,0,26,3,1
3,8,0,26,3,1
4,8,3.1999999999999997e-4,26,3,1
5,8,0,26,3,1
6,8,0,26,3,1
7,8,0,26,3,1
1,9,0,26,3,1
2,9,0,26,3,1
3,9,0,26,3,1
4,9,0.00288,26,3,1
5,9,0,26,3,1
6,9,0,26,3,1
7,9,0,26,3,1
8,9,0,26,3,1
1,10,0,26,3,1
2,10,0,26,3,1
3,10,0,26,3,1
4,10,0,26,3,1
5,10,0,26,3,1
6,10,0,26,3,1
7,10,0,26,3,1
8,10,0,26,3,1
9,10,0,26,3,1
1,2,0,27,3,1
1,3,9.6e-4,27,3,1
2,3,0,27,3,1
1,4,0,27,3,1
2,4,0,27,3,1
3,4,8e-4,27,3,1
1,5,3.2e-4,27,3,1
2,5,0.0024,27,3,1
3,5,0.0027199999999999998,27,3,1
4,5,0.011519999999999999,27,3,1
1,6,0,27,3,1
2,6,0,27,3,1
3,6,0,27,3,1
4,6,0,27,3,1
5,6,0,27,3,1
1,7,0,27,3,1
2,7,0,27,3,1
3,7,0,27,3,1
4,7,0,27,3,1
5,7,0.00144,27,3,1
6,7,0,27,3,1
1,8,0,27,3,1
2,8,0,27,3,1
3,8,0,27,3,1
4,8,1.6e-4,27,3,1
5,8,0,27,3,1
6,8,0,27,3,1
7,8,0,27,3,1
1,9,0,27,3,1
2,9,1.5999999999999999e-4,27,3,1
3,9,0.0032,27,3,1
4,9,0,27,3,1
5,9,0.00352,27,3,1
6,9,0,27,3,1
7,9,1.6e-4,27,3,1
8,9,0,27,3,1
1,10,0,27,3,1
2,10,0,27,3,1
3,10,0,27,3,1
4,10,3.1999999999999997e-4,27,3,1
5,10,3.2e-4,27,3,1
6,10,0,27,3,1
7,10,0,27,3,1
8,10,0,27,3,1
9,10,3.1999999999999997e-4,27,3,1
1,2,0,28,3,1
1,3,0,28,3,1
2,3,1.5999999999999999e-4,28,3,1
1,4,0,28,3,1
2,4,0.0012799999999999999,28,3,1
3,4,1.5999999999999999e-4,28,3,1
1,5,1.5999999999999999e-4,28,3,1
2,5,0,28,3,1
