variable,PIP,race,trial,case
Pb,0.76408,1,24,1
Mo,0.56452,1,24,1
Sb,0.7224,1,24,1
Sn,0.68768,1,24,1
As,0.18216,2,24,1
Cd,0.208,2,24,1
Co,0.25112,2,24,1
Hg,0.9974,2,24,1
Ni,0.18368,2,24,1
Tl,0.1942,2,24,1
Pb,0.20108,2,24,1
Mo,0.17032,2,24,1
Sb,0.47228,2,24,1
Sn,0.35188,2,24,1
As,0.50592,3,24,1
Cd,0.66212,3,24,1
Co,0.49536,3,24,1
Hg,0.42848,3,24,1
Ni,0.50232,3,24,1
Tl,0.47772,3,24,1
Pb,0.63696,3,24,1
Mo,0.70644,3,24,1
Sb,0.48048,3,24,1
Sn,0.4374,3,24,1
As,0.33152,4,24,1
Cd,0.31452,4,24,1
Co,0.2936,4,24,1
Hg,0.98428,4,24,1
Ni,0.99688,4,24,1
Tl,0.27004,4,24,1
Pb,0.4034,4,24,1
Mo,0.2092,4,24,1
Sb,0.99492,4,24,1
Sn,0.7558,4,24,1
As,0.16508,5,24,1
Cd,0.16136,5,24,1
Co,0.25588,5,24,1
Hg,0.99856,5,24,1
Ni,1,5,24,1
Tl,0.06728,5,24,1
Pb,0.17332,5,24,1
Mo,0.13584,5,24,1
Sb,1,5,24,1
Sn,0.99988,5,24,1
As,0.35956,1,25,1
Cd,0.37124,1,25,1
Co,0.41292,1,25,1
Hg,0.39304,1,25,1
Ni,0.44724,1,25,1
Tl,0.4084,1,25,1
Pb,0.35944,1,25,1
Mo,0.34836,1,25,1
Sb,0.508,1,25,1
Sn,0.43168,1,25,1
As,0.31352,2,25,1
Cd,0.37248,2,25,1
Co,0.55755999999999994,2,25,1
Hg,0.64464,2,25,1
Ni,0.62028,2,25,1
Tl,0.54624,2,25,1
Pb,0.60748,2,25,1
Mo,0.49332,2,25,1
Sb,0.54916,2,25,1
Sn,0.43148,2,25,1
As,0.4548,3,25,1
Cd,0.39856,3,25,1
Co,0.36452,3,25,1
Hg,0.50084,3,25,1
Ni,0.63388,3,25,1
Tl,0.36676,3,25,1
Pb,0.4848,3,25,1
Mo,0.31356,3,25,1
Sb,0.39212,3,25,1
Sn,0.7118,3,25,1
As,0.22168,4,25,1
Cd,0.17836,4,25,1
Co,0.4164,4,25,1
Hg,0.97912,4,25,1
Ni,0.7302,4,25,1
Tl,0.21708,4,25,1
Pb,0.60492,4,25,1
Mo,0.24384,4,25,1
Sb,1,4,25,1
Sn,0.22468,4,25,1
As,0.433,5,25,1
Cd,0.6046,5,25,1
Co,0.365,5,25,1
Hg,0.99936,5,25,1
Ni,0.9774,5,25,1
Tl,0.3156,5,25,1
Pb,0.29856,5,25,1
Mo,0.60032,5,25,1
Sb,0.95396,5,25,1
Sn,0.99316,5,25,1
As,0.39344,1,26,1
Cd,0.34116,1,26,1
Co,0.79884,1,26,1
Hg,0.33812,1,26,1
