variable,PIP,race,trial,case
Pb,0.35136,6,2,1
Mo,0.3592,6,2,1
Sb,0.41484,6,2,1
Sn,0.36804,6,2,1
As,0.64832,1,20,1
Cd,0.58988,1,20,1
Co,0.56468,1,20,1
Hg,0.76644,1,20,1
Ni,0.58236,1,20,1
Tl,0.6168,1,20,1
Pb,0.59404,1,20,1
Mo,0.64684,1,20,1
Sb,0.58768,1,20,1
Sn,0.6938,1,20,1
As,0.48488,2,20,1
Cd,0.517,2,20,1
Co,0.51376,2,20,1
Hg,0.52892,2,20,1
Ni,0.50632,2,20,1
Tl,0.6338,2,20,1
Pb,0.6336,2,20,1
Mo,0.52996,2,20,1
Sb,0.90484,2,20,1
Sn,0.54228,2,20,1
As,0.5626,3,20,1
Cd,0.66244,3,20,1
Co,0.54668,3,20,1
Hg,0.51924,3,20,1
Ni,0.54068,3,20,1
Tl,0.54276,3,20,1
Pb,0.53752,3,20,1
Mo,0.61852,3,20,1
Sb,0.52732,3,20,1
Sn,0.60856,3,20,1
As,0.37544,4,20,1
Cd,0.35136,4,20,1
Co,0.89348,4,20,1
Hg,0.60584,4,20,1
Ni,0.477,4,20,1
Tl,0.36192,4,20,1
Pb,0.40124,4,20,1
Mo,0.51352,4,20,1
Sb,0.9018,4,20,1
Sn,0.47424,4,20,1
As,0.53516,5,20,1
Cd,0.47076,5,20,1
Co,0.5368,5,20,1
Hg,0.6532,5,20,1
Ni,0.5484,5,20,1
Tl,0.44976,5,20,1
Pb,0.5668,5,20,1
Mo,0.61872,5,20,1
Sb,0.51404,5,20,1
Sn,0.79256,5,20,1
As,0.40332,6,20,1
Cd,0.37108,6,20,1
Co,0.38424,6,20,1
Hg,0.3882,6,20,1
Ni,0.39144,6,20,1
Tl,0.38148,6,20,1
Pb,0.47436,6,20,1
Mo,0.3826,6,20,1
Sb,0.53724,6,20,1
Sn,0.37096,6,20,1
NA,NA,1,21,1
As,0.48252,2,21,1
Cd,0.64916,2,21,1
Co,0.522,2,21,1
Hg,0.52052,2,21,1
Ni,0.613,2,21,1
Tl,0.56488,2,21,1
Pb,0.52456,2,21,1
Mo,0.504,2,21,1
Sb,0.83708,2,21,1
Sn,0.49084,2,21,1
NA,NA,3,21,1
As,0.30444,4,21,1
Cd,0.81888,4,21,1
Co,0.42148,4,21,1
Hg,0.39568,4,21,1
Ni,0.97468,4,21,1
Tl,0.6138,4,21,1
Pb,0.77524,4,21,1
Mo,0.44984,4,21,1
Sb,0.99892,4,21,1
Sn,0.43564,4,21,1
As,0.25744,5,21,1
Cd,0.27404,5,21,1
Co,0.27768,5,21,1
Hg,0.20648,5,21,1
Ni,0.436,5,21,1
Tl,0.24496,5,21,1
Pb,0.28824,5,21,1
Mo,0.31124,5,21,1
Sb,0.27988,5,21,1
Sn,0.24532,5,21,1
As,0.25332,6,21,1
Cd,0.73316,6,21,1
Co,0.326,6,21,1
Hg,0.3396,6,21,1
Ni,0.43908,6,21,1
Tl,0.29216,6,21,1
Pb,0.35304,6,21,1
Mo,0.34772,6,21,1
Sb,0.9498,6,21,1
Sn,0.34656,6,21,1
As,0.47724,1,22,1
Cd,0.41932,1,22,1
Co,0.45256,1,22,1
Hg,0.42736,1,22,1
Ni,0.42352,1,22,1
Tl,0.47196,1,22,1
Pb,0.85256,1,22,1
Mo,0.45408,1,22,1
Sb,0.84592,1,22,1
Sn,0.49892,1,22,1
As,0.61076,2,22,1
Cd,0.55312,2,22,1
Co,0.49044,2,22,1
Hg,0.69744,2,22,1
Ni,0.58332,2,22,1
Tl,0.567,2,22,1
Pb,0.50988,2,22,1
Mo,0.5026,2,22,1
Sb,0.54428,2,22,1
Sn,0.67916,2,22,1
NA,NA,3,22,1
As,0.4052,4,22,1
Cd,0.42992,4,22,1
Co,0.52412,4,22,1
Hg,0.9106,4,22,1
Ni,0.92736,4,22,1
Tl,0.4844,4,22,1
Pb,0.54316,4,22,1
Mo,0.46592,4,22,1
Sb,0.60532,4,22,1
Sn,0.4754,4,22,1
As,0.83132,5,22,1
Cd,0.531,5,22,1
Co,0.43744,5,22,1
Hg,0.9854,5,22,1
Ni,0.75024,5,22,1
Tl,0.29684,5,22,1
Pb,0.35484,5,22,1
Mo,0.44948,5,22,1
Sb,0.71044,5,22,1
Sn,0.4676,5,22,1
As,0.42156,6,22,1
Cd,0.32688,6,22,1
Co,0.32224,6,22,1
Hg,0.37204,6,22,1
Ni,0.32376,6,22,1
Tl,0.37364000000000003,6,22,1
Pb,0.34484,6,22,1
Mo,0.39452,6,22,1
Sb,0.37,6,22,1
Sn,0.3298,6,22,1
As,0.44048,1,23,1
Cd,0.45176,1,23,1
Co,0.41552,1,23,1
Hg,0.38876,1,23,1
Ni,0.39848,1,23,1
Tl,0.36304,1,23,1
Pb,0.42156,1,23,1
Mo,0.39652,1,23,1
Sb,0.45832,1,23,1
Sn,0.39784,1,23,1
As,0.55076,2,23,1
Cd,0.51036,2,23,1
Co,0.5336,2,23,1
Hg,0.65464,2,23,1
Ni,0.50212,2,23,1
Tl,0.61076,2,23,1
Pb,0.51828,2,23,1
Mo,0.47796,2,23,1
Sb,0.61776,2,23,1
Sn,0.49252,2,23,1
NA,NA,3,23,1
As,0.65232,4,23,1
Cd,0.53632,4,23,1
Co,0.5534,4,23,1
Hg,0.78768,4,23,1
Ni,0.84208,4,23,1
Tl,0.55584,4,23,1
Pb,0.5902,4,23,1
