variable,PIP,trial,case
Mo,0.08596,9,1
Sb,1,9,1
Sn,0.99032,9,1
As,0.65992,90,1
Cd,0.45024,90,1
Co,0.54676,90,1
Hg,1,90,1
Ni,1,90,1
Tl,0.55408,90,1
Pb,0.22236,90,1
Mo,0.234,90,1
Sb,1,90,1
Sn,0.994,90,1
As,0.18172,91,1
Cd,0.21428,91,1
Co,0.13776,91,1
Hg,1,91,1
Ni,1,91,1
Tl,0.1206,91,1
Pb,0.2456,91,1
Mo,0.20232,91,1
Sb,1,91,1
Sn,0.912,91,1
As,0.44444,92,1
Cd,0.28592,92,1
Co,0.70132,92,1
Hg,1,92,1
Ni,1,92,1
Tl,0.71148,92,1
Pb,0.29524,92,1
Mo,0.23144,92,1
Sb,1,92,1
Sn,0.9626,92,1
As,0.21172,93,1
Cd,0.126,93,1
Co,0.57624,93,1
Hg,1,93,1
Ni,0.99444,93,1
Tl,0.23888,93,1
Pb,0.20468,93,1
Mo,0.1686,93,1
Sb,1,93,1
Sn,0.31052,93,1
As,0.141,94,1
Cd,0.20264,94,1
Co,0.17204,94,1
Hg,1,94,1
Ni,1,94,1
Tl,0.1566,94,1
Pb,0.06892,94,1
Mo,0.08184,94,1
Sb,1,94,1
Sn,0.74596,94,1
As,0.21528,95,1
Cd,0.03092,95,1
Co,0.03392,95,1
Hg,1,95,1
Ni,1,95,1
Tl,0.01816,95,1
Pb,0.06784,95,1
Mo,0.02784,95,1
Sb,1,95,1
Sn,0.10016,95,1
As,0.49792,96,1
Cd,0.56508,96,1
Co,0.4882,96,1
Hg,0.86128,96,1
Ni,0.9414,96,1
Tl,0.52916,96,1
Pb,0.52352,96,1
Mo,0.56428,96,1
Sb,0.7474,96,1
Sn,0.56464,96,1
As,0.09872,97,1
Cd,0.11184,97,1
Co,0.18208,97,1
Hg,0.996,97,1
Ni,1,97,1
Tl,0.10104,97,1
Pb,0.15496,97,1
Mo,0.28848,97,1
Sb,1,97,1
Sn,0.9824,97,1
As,0.45076,98,1
Cd,0.515,98,1
Co,0.3076,98,1
Hg,1,98,1
Ni,1,98,1
Tl,0.5362,98,1
Pb,0.59424,98,1
Mo,0.48368,98,1
Sb,1,98,1
Sn,0.94588,98,1
As,0.09068,99,1
Cd,0.07452,99,1
Co,0.19188,99,1
Hg,1,99,1
Ni,1,99,1
Tl,0.14492,99,1
Pb,0.04152,99,1
Mo,0.07016,99,1
Sb,1,99,1
Sn,0.15768,99,1
As,0.20084,101,2
Cd,0.3774,101,2
Co,0.06024,101,2
Hg,1,101,2
Ni,1,101,2
Tl,0.15444,101,2
Pb,0.17528,101,2
Mo,0.1134,101,2
Sb,1,101,2
Sn,0.81432,101,2
As,0.52484,102,2
Cd,0.19996,102,2
Co,0.87544,102,2
Hg,1,102,2
Ni,1,102,2
Tl,0.25308,102,2
Pb,0.6056,102,2
Mo,0.16056,102,2
Sb,1,102,2
Sn,0.93868,102,2
As,0.1354,103,2
Cd,0.13284,103,2
Co,0.31028,103,2
Hg,1,103,2
Ni,1,103,2
Tl,0.13084,103,2
Pb,0.05336,103,2
Mo,0.26116,103,2
Sb,1,103,2
Sn,0.95748,103,2
As,0.0336,104,2
Cd,0.05608,104,2
Co,0.04056,104,2
Hg,1,104,2
Ni,1,104,2
Tl,0.05436,104,2
Pb,0.04492,104,2
Mo,0.31252,104,2
Sb,1,104,2
Sn,0.1672,104,2
As,0.0516,105,2
Cd,0.13808,105,2
Co,0.07236,105,2
Hg,1,105,2
Ni,1,105,2
Tl,0.06568,105,2
Pb,0.01536,105,2
Mo,0.04844,105,2
Sb,1,105,2
Sn,0.26372,105,2
As,0.0716,106,2
Cd,0.15172,106,2
Co,0.1906,106,2
Hg,1,106,2
Ni,1,106,2
Tl,0.55336,106,2
Pb,0.11592,106,2
Mo,0.28656,106,2
Sb,1,106,2
Sn,0.77516,106,2
As,0.27768,107,2
Cd,0.20888,107,2
Co,0.29108,107,2
Hg,1,107,2
Ni,1,107,2
Tl,0.88456,107,2
Pb,0.24576,107,2
Mo,0.21552,107,2
Sb,1,107,2
Sn,1,107,2
As,0.3714,108,2
Cd,0.27072,108,2
Co,0.1544,108,2
Hg,1,108,2
Ni,1,108,2
Tl,0.13216,108,2
Pb,0.52376,108,2
Mo,0.09992,108,2
Sb,1,108,2
Sn,0.67812,108,2
As,0.2916,109,2
Cd,0.28176,109,2
Co,0.51296,109,2
Hg,1,109,2
Ni,1,109,2
Tl,0.25244,109,2
Pb,0.2254,109,2
Mo,0.57056,109,2
Sb,1,109,2
Sn,0.9964,109,2
As,0.65232,110,2
Cd,0.16492,110,2
Co,0.14984,110,2
Hg,1,110,2
Ni,1,110,2
Tl,0.15328,110,2
Pb,0.21396,110,2
Mo,0.13948,110,2
Sb,1,110,2
Sn,0.86932,110,2
As,0.048,111,2
Cd,0.1268,111,2
Co,0.09148,111,2
Hg,1,111,2
Ni,1,111,2
Tl,0.17808,111,2
Pb,0.07876,111,2
