variable,PIP,trial,df,case
LBXF04LA,0.95104,45,4,1
LBXF05LA,0.09824,45,4,1
LBXF08LA,0.17312,45,4,1
LBX074LA,0.85184,46,2,1
LBX099LA,0.12512,46,2,1
LBX138LA,0.33504,46,2,1
LBX153LA,0.23344,46,2,1
LBX170LA,0.8352,46,2,1
LBX180LA,0.316,46,2,1
LBX187LA,0.4128,46,2,1
LBX194LA,0.9976,46,2,1
LBXPCBLA,0.49248,46,2,1
LBXHXCLA,0.11888,46,2,1
LBX118LA,0.27536,46,2,1
LBXD03LA,0.2032,46,2,1
LBXD05LA,0.41232,46,2,1
LBXD07LA,0.1152,46,2,1
LBXF03LA,0.15216,46,2,1
LBXF04LA,0.97104,46,2,1
LBXF05LA,0.09664,46,2,1
LBXF08LA,0.19984,46,2,1
LBX074LA,0.28576,47,3,1
LBX099LA,0.128,47,3,1
LBX138LA,0.10576,47,3,1
LBX153LA,0.14048,47,3,1
LBX170LA,0.20096,47,3,1
LBX180LA,0.1672,47,3,1
LBX187LA,0.69024,47,3,1
LBX194LA,0.96624,47,3,1
LBXPCBLA,0.92048,47,3,1
LBXHXCLA,0.12176,47,3,1
LBX118LA,0.33344,47,3,1
