size,case,variable,sensitivity,sign
Small,15,LBXF04LA,0.42,TRUE
Small,15,LBXF05LA,0.16,FALSE
Small,15,LBXF08LA,0.12,FALSE
Small,15,LBXHXCLA,0.11,FALSE
Small,15,LBXPCBLA,0.31,TRUE
Small,16,LBX074LA,0.4,TRUE
Small,16,LBX099LA,0.16,FALSE
Small,16,LBX118LA,0.25,FALSE
Small,16,LBX138LA,0.14,FALSE
Small,16,LBX153LA,0.17,FALSE
Small,16,LBX170LA,0.22,FALSE
Small,16,LBX180LA,0.2,FALSE
Small,16,LBX187LA,0.21,FALSE
Small,16,LBX194LA,0.34,TRUE
Small,16,LBXD03LA,0.16,FALSE
Small,16,LBXD05LA,0.37,TRUE
Small,16,LBXD07LA,0.25,FALSE
Small,16,LBXF03LA,0.12,FALSE
Small,16,LBXF04LA,0.4,TRUE
Small,16,LBXF05LA,0.2,FALSE
Small,16,LBXF08LA,0.18,FALSE
Small,16,LBXHXCLA,0.2,FALSE
Small,16,LBXPCBLA,0.29,TRUE
Small,17,LBX074LA,0.32,TRUE
Small,17,LBX099LA,0.15,FALSE
Small,17,LBX118LA,0.28,FALSE
Small,17,LBX138LA,0.13,FALSE
Small,17,LBX153LA,0.18,FALSE
Small,17,LBX170LA,0.17,FALSE
Small,17,LBX180LA,0.12,FALSE
Small,17,LBX187LA,0.17,FALSE
Small,17,LBX194LA,0.38,TRUE
Small,17,LBXD03LA,0.15,FALSE
Small,17,LBXD05LA,0.39,TRUE
Small,17,LBXD07LA,0.25,FALSE
Small,17,LBXF03LA,0.16,FALSE
Small,17,LBXF04LA,0.39,TRUE
Small,17,LBXF05LA,0.17,FALSE
Small,17,LBXF08LA,0.15,FALSE
Small,17,LBXHXCLA,0.17,FALSE
Small,17,LBXPCBLA,0.23,TRUE
