mod,case,size,var,sign,sensitivity
Naive MLR,12,Large,153,FALSE,0.1
Naive MLR,12,Large,170,FALSE,0.06
Naive MLR,12,Large,180,FALSE,0.13
Naive MLR,12,Large,187,FALSE,0.1
Naive MLR,12,Large,194,TRUE,0.5
Naive MLR,12,Large,D03,FALSE,0.2
Naive MLR,12,Large,D05,TRUE,0.75
Naive MLR,12,Large,D07,FALSE,0.04
Naive MLR,12,Large,F03,FALSE,0.09
Naive MLR,12,Large,F04,TRUE,0.07
Naive MLR,12,Large,F05,FALSE,0.07
Naive MLR,12,Large,F08,FALSE,0.09
Naive MLR,12,Large,HXC,FALSE,0.05
Naive MLR,12,Large,PCB,TRUE,0.33
Naive MLR,12,Small,074,TRUE,0.16
Naive MLR,12,Small,099,FALSE,0.03
Naive MLR,12,Small,118,FALSE,0.04
Naive MLR,12,Small,138,FALSE,0.06
Naive MLR,12,Small,153,FALSE,0.05
Naive MLR,12,Small,170,FALSE,0.06
Naive MLR,12,Small,180,FALSE,0.08
Naive MLR,12,Small,187,FALSE,0.03
Naive MLR,12,Small,194,TRUE,0.21
Naive MLR,12,Small,D03,FALSE,0.09
Naive MLR,12,Small,D05,TRUE,0.26
Naive MLR,12,Small,D07,FALSE,0.05
Naive MLR,12,Small,F03,FALSE,0.04
Naive MLR,12,Small,F04,TRUE,0.06
Naive MLR,12,Small,F05,FALSE,0.09
Naive MLR,12,Small,F08,FALSE,0.05
Naive MLR,12,Small,HXC,FALSE,0.03
Naive MLR,12,Small,PCB,TRUE,0.09
Naive MLR,13,Large,074,TRUE,0.93
Naive MLR,13,Large,099,FALSE,0.04
Naive MLR,13,Large,118,FALSE,0.05
Naive MLR,13,Large,138,FALSE,0.06
Naive MLR,13,Large,153,FALSE,0.11
Naive MLR,13,Large,170,FALSE,0.04
Naive MLR,13,Large,180,FALSE,0.11
Naive MLR,13,Large,187,FALSE,0.05
Naive MLR,13,Large,194,TRUE,0.58
Naive MLR,13,Large,D03,FALSE,0.29
Naive MLR,13,Large,D05,TRUE,0.7
Naive MLR,13,Large,D07,FALSE,0.07
Naive MLR,13,Large,F03,FALSE,0.07
Naive MLR,13,Large,F04,TRUE,0.04
Naive MLR,13,Large,F05,FALSE,0.08
Naive MLR,13,Large,F08,FALSE,0.06
Naive MLR,13,Large,HXC,FALSE,0.06
Naive MLR,13,Large,PCB,TRUE,0.39
Naive MLR,13,Small,074,TRUE,0.28
Naive MLR,13,Small,099,FALSE,0.02
Naive MLR,13,Small,118,FALSE,0.05
Naive MLR,13,Small,138,FALSE,0.03
Naive MLR,13,Small,153,FALSE,0.05
Naive MLR,13,Small,170,FALSE,0.03
Naive MLR,13,Small,180,FALSE,0.1
Naive MLR,13,Small,187,FALSE,0.05
Naive MLR,13,Small,194,TRUE,0.12
Naive MLR,13,Small,D03,FALSE,0.11
Naive MLR,13,Small,D05,TRUE,0.27
Naive MLR,13,Small,D07,FALSE,0.07
Naive MLR,13,Small,F03,FALSE,0.04
Naive MLR,13,Small,F04,TRUE,0.05
Naive MLR,13,Small,F05,FALSE,0.02
Naive MLR,13,Small,F08,FALSE,0.02
Naive MLR,13,Small,HXC,FALSE,0.05
Naive MLR,13,Small,PCB,TRUE,0.09
Naive MLR,14,Large,074,TRUE,0.47
Naive MLR,14,Large,099,FALSE,0.06
Naive MLR,14,Large,118,FALSE,0.03
Naive MLR,14,Large,138,FALSE,0.04
Naive MLR,14,Large,153,FALSE,0.04
Naive MLR,14,Large,170,FALSE,0.03
Naive MLR,14,Large,180,FALSE,0.03
Naive MLR,14,Large,187,FALSE,0.03
Naive MLR,14,Large,194,TRUE,0.59
Naive MLR,14,Large,D03,FALSE,0.13
Naive MLR,14,Large,D05,TRUE,0.84
Naive MLR,14,Large,D07,FALSE,0.08
Naive MLR,14,Large,F03,FALSE,0.03
Naive MLR,14,Large,F04,TRUE,0.1
Naive MLR,14,Large,F05,FALSE,0.11
Naive MLR,14,Large,F08,FALSE,0.03
Naive MLR,14,Large,HXC,FALSE,0.07
Naive MLR,14,Large,PCB,TRUE,0.47
Naive MLR,14,Small,074,TRUE,0.16
Naive MLR,14,Small,099,FALSE,0.04
Naive MLR,14,Small,118,FALSE,0.02
Naive MLR,14,Small,138,FALSE,0.07
Naive MLR,14,Small,153,FALSE,0.06
Naive MLR,14,Small,170,FALSE,0.03
Naive MLR,14,Small,180,FALSE,0.04
Naive MLR,14,Small,187,FALSE,0.1
Naive MLR,14,Small,194,TRUE,0.18
Naive MLR,14,Small,D03,FALSE,0.06
Naive MLR,14,Small,D05,TRUE,0.26
Naive MLR,14,Small,D07,FALSE,0.09
Naive MLR,14,Small,F03,FALSE,0.02
Naive MLR,14,Small,F04,TRUE,0.05
Naive MLR,14,Small,F05,FALSE,0.05
Naive MLR,14,Small,F08,FALSE,0.04
