Var1,Var2,PIP,trial,df,case
6,9,0.00144,1,2,1
7,9,0.032,1,2,1
8,9,6.399999999999999e-4,1,2,1
1,10,0,1,2,1
2,10,3.1999999999999997e-4,1,2,1
3,10,1.5999999999999999e-4,1,2,1
4,10,0,1,2,1
5,10,1.6e-4,1,2,1
6,10,1.5999999999999999e-4,1,2,1
7,10,0,1,2,1
8,10,0,1,2,1
9,10,0,1,2,1
1,2,0,20,2,1
1,3,0,20,2,1
2,3,0,20,2,1
1,4,8e-4,20,2,1
2,4,0.00144,20,2,1
3,4,9.6e-4,20,2,1
1,5,0.00128,20,2,1
2,5,8e-4,20,2,1
3,5,0,20,2,1
4,5,6.399999999999999e-4,20,2,1
1,6,0,20,2,1
2,6,0.0032,20,2,1
3,6,0,20,2,1
4,6,0.00432,20,2,1
5,6,1.5999999999999999e-4,20,2,1
1,7,0,20,2,1
2,7,1.6e-4,20,2,1
3,7,0,20,2,1
4,7,4.8e-4,20,2,1
5,7,1.5999999999999999e-4,20,2,1
6,7,1.5999999999999999e-4,20,2,1
1,8,0,20,2,1
2,8,3.1999999999999997e-4,20,2,1
3,8,1.6e-4,20,2,1
4,8,0.03456,20,2,1
5,8,3.1999999999999997e-4,20,2,1
6,8,0.00544,20,2,1
7,8,0,20,2,1
1,9,0.00352,20,2,1
2,9,0.00192,20,2,1
3,9,8e-4,20,2,1
4,9,0.00912,20,2,1
5,9,4.8e-4,20,2,1
6,9,0.0025599999999999998,20,2,1
7,9,3.2e-4,20,2,1
8,9,0.00528,20,2,1
1,10,0.00192,20,2,1
2,10,0,20,2,1
3,10,0,20,2,1
4,10,0.00352,20,2,1
5,10,0.00112,20,2,1
6,10,0.00128,20,2,1
7,10,3.1999999999999997e-4,20,2,1
8,10,0.09808,20,2,1
9,10,0.052,20,2,1
1,2,0,21,3,1
1,3,0,21,3,1
2,3,0,21,3,1
1,4,1.6e-4,21,3,1
2,4,0,21,3,1
3,4,0,21,3,1
1,5,0,21,3,1
2,5,0,21,3,1
3,5,0,21,3,1
4,5,0.00208,21,3,1
1,6,0,21,3,1
2,6,0,21,3,1
3,6,0,21,3,1
4,6,0,21,3,1
5,6,1.5999999999999999e-4,21,3,1
1,7,0,21,3,1
2,7,0,21,3,1
3,7,0,21,3,1
4,7,0,21,3,1
5,7,0.0011200000000000001,21,3,1
6,7,0,21,3,1
1,8,0.0016,21,3,1
2,8,0,21,3,1
3,8,0,21,3,1
4,8,0,21,3,1
5,8,0,21,3,1
6,8,0,21,3,1
7,8,0,21,3,1
1,9,0,21,3,1
2,9,1.5999999999999999e-4,21,3,1
3,9,0,21,3,1
4,9,0,21,3,1
5,9,3.1999999999999997e-4,21,3,1
6,9,0,21,3,1
7,9,0,21,3,1
8,9,0.00112,21,3,1
1,10,0,21,3,1
2,10,0,21,3,1
3,10,0,21,3,1
4,10,0,21,3,1
5,10,3.1999999999999997e-4,21,3,1
6,10,0,21,3,1
7,10,0,21,3,1
8,10,0,21,3,1
9,10,1.5999999999999999e-4,21,3,1
1,2,0,22,2,1
1,3,1.6e-4,22,2,1
2,3,0,22,2,1
1,4,0,22,2,1
2,4,0,22,2,1
3,4,0,22,2,1
1,5,1.6e-4,22,2,1
2,5,0.00384,22,2,1
3,5,0,22,2,1
4,5,6.4e-4,22,2,1
1,6,0,22,2,1
2,6,4.8e-4,22,2,1
3,6,0.00272,22,2,1
4,6,3.1999999999999997e-4,22,2,1
5,6,0.0054399999999999995,22,2,1
1,7,0,22,2,1
2,7,0,22,2,1
3,7,0,22,2,1
4,7,0,22,2,1
5,7,1.6e-4,22,2,1
6,7,6.399999999999999e-4,22,2,1
1,8,0.00288,22,2,1
2,8,8e-4,22,2,1
3,8,0,22,2,1
4,8,4.8e-4,22,2,1
5,8,0.00944,22,2,1
6,8,0.00288,22,2,1
7,8,0,22,2,1
1,9,1.6e-4,22,2,1
2,9,0.0011200000000000001,22,2,1
3,9,0.004,22,2,1
4,9,8e-4,22,2,1
5,9,0.00608,22,2,1
6,9,0.04048,22,2,1
7,9,3.1999999999999997e-4,22,2,1
8,9,0.00176,22,2,1
1,10,0,22,2,1
2,10,0,22,2,1
3,10,0,22,2,1
4,10,0,22,2,1
5,10,1.5999999999999999e-4,22,2,1
6,10,1.6e-4,22,2,1
7,10,0,22,2,1
8,10,1.5999999999999999e-4,22,2,1
9,10,0.0016,22,2,1
1,2,0,23,4,1
1,3,0,23,4,1
2,3,0,23,4,1
1,4,0,23,4,1
2,4,0,23,4,1
3,4,0,23,4,1
1,5,0,23,4,1
2,5,0,23,4,1
3,5,0,23,4,1
4,5,0,23,4,1
1,6,0,23,4,1
2,6,0,23,4,1
3,6,0,23,4,1
4,6,0,23,4,1
5,6,0,23,4,1
1,7,0,23,4,1
2,7,0,23,4,1
3,7,0,23,4,1
4,7,0,23,4,1
5,7,0.01248,23,4,1
6,7,0,23,4,1
1,8,0,23,4,1
2,8,0,23,4,1
3,8,0,23,4,1
4,8,0,23,4,1
5,8,0,23,4,1
6,8,0,23,4,1
7,8,0,23,4,1
1,9,0,23,4,1
2,9,0,23,4,1
3,9,0,23,4,1
4,9,1.5999999999999999e-4,23,4,1
5,9,0,23,4,1
6,9,0,23,4,1
7,9,0,23,4,1
8,9,0,23,4,1
1,10,0,23,4,1
2,10,0,23,4,1
3,10,0,23,4,1
4,10,0,23,4,1
5,10,0,23,4,1
6,10,0,23,4,1
7,10,0,23,4,1
8,10,0,23,4,1
9,10,0,23,4,1
1,2,1.6e-4,24,3,1
1,3,0.0014399999999999999,24,3,1
2,3,4.8e-4,24,3,1
1,4,0,24,3,1
2,4,0.0012799999999999999,24,3,1
3,4,6.4e-4,24,3,1
1,5,3.1999999999999997e-4,24,3,1
2,5,0.00144,24,3,1
3,5,0,24,3,1
4,5,9.6e-4,24,3,1
1,6,0,24,3,1
2,6,0,24,3,1
3,6,0,24,3,1
4,6,0,24,3,1
5,6,0,24,3,1
1,7,0,24,3,1
2,7,0.0016,24,3,1
3,7,0.00192,24,3,1
4,7,0,24,3,1
5,7,0,24,3,1
6,7,3.2e-4,24,3,1
1,8,0,24,3,1
2,8,3.1999999999999997e-4,24,3,1
3,8,0,24,3,1
4,8,0,24,3,1
5,8,0,24,3,1
6,8,0,24,3,1
7,8,0,24,3,1
1,9,0,24,3,1
2,9,3.1999999999999997e-4,24,3,1
3,9,0.00208,24,3,1
4,9,0.00384,24,3,1
5,9,0,24,3,1
6,9,0,24,3,1
7,9,0.00464,24,3,1
8,9,0,24,3,1
1,10,0,24,3,1
2,10,0,24,3,1
3,10,0.00176,24,3,1
4,10,8e-4,24,3,1
5,10,3.1999999999999997e-4,24,3,1
6,10,8e-4,24,3,1
7,10,0,24,3,1
8,10,0.00192,24,3,1
9,10,0.00752,24,3,1
1,2,0,25,1,1
1,3,8e-4,25,1,1
2,3,1.5999999999999999e-4,25,1,1
1,4,0.00176,25,1,1
2,4,0.0016,25,1,1
3,4,0.0168,25,1,1
1,5,3.1999999999999997e-4,25,1,1
2,5,3.1999999999999997e-4,25,1,1
3,5,0.00208,25,1,1
4,5,0.03744,25,1,1
1,6,1.6e-4,25,1,1
2,6,6.399999999999999e-4,25,1,1
3,6,0.00576,25,1,1
4,6,0.00688,25,1,1
5,6,0.01584,25,1,1
1,7,0,25,1,1
2,7,0,25,1,1
3,7,0.00192,25,1,1
4,7,0.00256,25,1,1
5,7,0.0024,25,1,1
6,7,0.00192,25,1,1
1,8,0,25,1,1
2,8,1.6e-4,25,1,1
3,8,0,25,1,1
4,8,8e-4,25,1,1
5,8,0.00112,25,1,1
6,8,6.4e-4,25,1,1
7,8,0,25,1,1
1,9,1.6e-4,25,1,1
2,9,3.2e-4,25,1,1
3,9,0.00624,25,1,1
4,9,0.0264,25,1,1
5,9,0.00416,25,1,1
6,9,0.00288,25,1,1
7,9,1.6e-4,25,1,1
8,9,0.0016,25,1,1
1,10,1.6e-4,25,1,1
2,10,0,25,1,1
3,10,0.0011200000000000001,25,1,1
4,10,0.00112,25,1,1
5,10,0.0016,25,1,1
6,10,0.00112,25,1,1
7,10,3.1999999999999997e-4,25,1,1
8,10,0,25,1,1
9,10,6.399999999999999e-4,25,1,1
1,2,0,26,2,1
1,3,0,26,2,1
2,3,0,26,2,1
1,4,1.5999999999999999e-4,26,2,1
2,4,0,26,2,1
3,4,6.399999999999999e-4,26,2,1
1,5,3.2e-4,26,2,1
2,5,0.0014399999999999999,26,2,1
3,5,0.00416,26,2,1
4,5,0.00352,26,2,1
1,6,1.5999999999999999e-4,26,2,1
2,6,1.5999999999999999e-4,26,2,1
3,6,0,26,2,1
4,6,3.1999999999999997e-4,26,2,1
5,6,1.5999999999999999e-4,26,2,1
1,7,0,26,2,1
2,7,0,26,2,1
3,7,0,26,2,1
4,7,8e-4,26,2,1
5,7,1.6e-4,26,2,1
6,7,0.00384,26,2,1
1,8,0,26,2,1
2,8,0,26,2,1
3,8,1.6e-4,26,2,1
4,8,4.8e-4,26,2,1
5,8,1.6e-4,26,2,1
6,8,0,26,2,1
7,8,0,26,2,1
1,9,0,26,2,1
2,9,1.6e-4,26,2,1
3,9,0.00128,26,2,1
4,9,6.399999999999999e-4,26,2,1
5,9,0.00368,26,2,1
6,9,6.399999999999999e-4,26,2,1
7,9,0,26,2,1
8,9,0,26,2,1
1,10,3.2e-4,26,2,1
2,10,0,26,2,1
3,10,0,26,2,1
4,10,4.8e-4,26,2,1
5,10,6.399999999999999e-4,26,2,1
6,10,0,26,2,1
7,10,0,26,2,1
8,10,0,26,2,1
9,10,6.399999999999999e-4,26,2,1
1,2,0,27,2,1
1,3,0,27,2,1
2,3,0,27,2,1
1,4,0,27,2,1
2,4,1.5999999999999999e-4,27,2,1
3,4,0,27,2,1
1,5,0,27,2,1
2,5,0,27,2,1
3,5,0.0288,27,2,1
4,5,0.00864,27,2,1
1,6,0,27,2,1
2,6,0.0016,27,2,1
3,6,1.5999999999999999e-4,27,2,1
4,6,1.5999999999999999e-4,27,2,1
5,6,0,27,2,1
1,7,0,27,2,1
2,7,0,27,2,1
3,7,1.5999999999999999e-4,27,2,1
4,7,0,27,2,1
5,7,4.8e-4,27,2,1
6,7,0,27,2,1
1,8,0,27,2,1
2,8,1.6e-4,27,2,1
3,8,0,27,2,1
4,8,0,27,2,1
5,8,0,27,2,1
6,8,0.0027199999999999998,27,2,1
7,8,0,27,2,1
1,9,0.0012799999999999999,27,2,1
2,9,0.01152,27,2,1
3,9,3.1999999999999997e-4,27,2,1
4,9,0.00496,27,2,1
5,9,0.01376,27,2,1
6,9,3.1999999999999997e-4,27,2,1
7,9,0,27,2,1
8,9,0,27,2,1
1,10,0,27,2,1
2,10,3.1999999999999997e-4,27,2,1
3,10,1.6e-4,27,2,1
4,10,1.6e-4,27,2,1
5,10,9.6e-4,27,2,1
