variable,PIP,race,trial,case
LBXF05LA,0.39552,2,17,1
LBXF08LA,0.7338,2,17,1
LBX074LA,0.47292,3,17,1
LBX099LA,0.59796,3,17,1
LBX138LA,0.43132,3,17,1
LBX153LA,0.46796,3,17,1
LBX170LA,0.51108,3,17,1
LBX180LA,0.44728,3,17,1
LBX187LA,0.44044,3,17,1
LBX194LA,0.42212,3,17,1
LBXPCBLA,0.5932,3,17,1
LBXHXCLA,0.4206,3,17,1
LBX118LA,0.416,3,17,1
LBXD03LA,0.58584,3,17,1
LBXD05LA,0.97656,3,17,1
LBXD07LA,0.4768,3,17,1
LBXF03LA,0.36964,3,17,1
LBXF04LA,0.5466,3,17,1
LBXF05LA,0.38016,3,17,1
LBXF08LA,0.46292,3,17,1
LBX074LA,0.1874,1,18,1
LBX099LA,0.14928,1,18,1
LBX138LA,0.20904,1,18,1
LBX153LA,0.28268,1,18,1
LBX170LA,0.26096,1,18,1
LBX180LA,0.19224,1,18,1
LBX187LA,0.52308,1,18,1
LBX194LA,0.33492,1,18,1
LBXPCBLA,0.15148,1,18,1
LBXHXCLA,0.17096,1,18,1
LBX118LA,0.19296,1,18,1
LBXD03LA,0.16356,1,18,1
LBXD05LA,0.15456,1,18,1
LBXD07LA,0.14688,1,18,1
LBXF03LA,0.14664,1,18,1
LBXF04LA,0.29656,1,18,1
LBXF05LA,0.16536,1,18,1
LBXF08LA,0.15004,1,18,1
LBX074LA,0.61612,2,18,1
LBX099LA,0.3652,2,18,1
LBX138LA,0.27004,2,18,1
LBX153LA,0.23832,2,18,1
LBX170LA,0.3336,2,18,1
LBX180LA,0.25896,2,18,1
LBX187LA,0.27044,2,18,1
LBX194LA,0.46048,2,18,1
LBXPCBLA,0.4494,2,18,1
LBXHXCLA,0.2962,2,18,1
LBX118LA,0.52768,2,18,1
LBXD03LA,0.32756,2,18,1
LBXD05LA,0.54484,2,18,1
LBXD07LA,0.30896,2,18,1
LBXF03LA,0.23624,2,18,1
LBXF04LA,0.49816,2,18,1
LBXF05LA,0.456,2,18,1
LBXF08LA,0.3022,2,18,1
LBX074LA,0.3568,3,18,1
LBX099LA,0.2128,3,18,1
LBX138LA,0.2938,3,18,1
LBX153LA,0.26508,3,18,1
LBX170LA,0.31368,3,18,1
LBX180LA,0.33244,3,18,1
LBX187LA,0.40428,3,18,1
LBX194LA,0.62236,3,18,1
LBXPCBLA,0.34856,3,18,1
LBXHXCLA,0.26736,3,18,1
LBX118LA,0.28032,3,18,1
LBXD03LA,0.30244,3,18,1
LBXD05LA,0.56784,3,18,1
LBXD07LA,0.27356,3,18,1
LBXF03LA,0.2668,3,18,1
LBXF04LA,0.60768,3,18,1
LBXF05LA,0.23296,3,18,1
LBXF08LA,0.20844,3,18,1
LBX074LA,0.49964,1,19,1
LBX099LA,0.58912,1,19,1
LBX138LA,0.46928,1,19,1
LBX153LA,0.5054,1,19,1
LBX170LA,0.52984,1,19,1
LBX180LA,0.49372,1,19,1
LBX187LA,0.52852,1,19,1
LBX194LA,0.53724,1,19,1
LBXPCBLA,0.57516,1,19,1
LBXHXCLA,0.50932,1,19,1
LBX118LA,0.55284,1,19,1
LBXD03LA,0.4852,1,19,1
LBXD05LA,0.5602,1,19,1
LBXD07LA,0.66588,1,19,1
LBXF03LA,0.41872,1,19,1
LBXF04LA,0.62208,1,19,1
LBXF05LA,0.78728,1,19,1
LBXF08LA,0.6122,1,19,1
LBX074LA,0.61176,2,19,1
LBX099LA,0.38944,2,19,1
LBX138LA,0.22416,2,19,1
LBX153LA,0.2392,2,19,1
LBX170LA,0.42212,2,19,1
LBX180LA,0.24876,2,19,1
LBX187LA,0.2184,2,19,1
LBX194LA,0.81148,2,19,1
LBXPCBLA,0.26996,2,19,1
LBXHXCLA,0.23572,2,19,1
LBX118LA,0.25696,2,19,1
LBXD03LA,0.2228,2,19,1
LBXD05LA,0.99276,2,19,1
LBXD07LA,0.13244,2,19,1
LBXF03LA,0.20664,2,19,1
LBXF04LA,0.21376,2,19,1
LBXF05LA,0.35832,2,19,1
LBXF08LA,0.21704,2,19,1
LBX074LA,0.2054,3,19,1
LBX099LA,0.11732,3,19,1
LBX138LA,0.1928,3,19,1
LBX153LA,0.18632,3,19,1
LBX170LA,0.17464,3,19,1
LBX180LA,0.17572,3,19,1
LBX187LA,0.22244,3,19,1
LBX194LA,0.80956,3,19,1
LBXPCBLA,0.1178,3,19,1
LBXHXCLA,0.20816,3,19,1
LBX118LA,0.19408,3,19,1
LBXD03LA,0.2096,3,19,1
LBXD05LA,0.278,3,19,1
LBXD07LA,0.23324,3,19,1
LBXF03LA,0.73036,3,19,1
LBXF04LA,0.15668,3,19,1
LBXF05LA,0.14496,3,19,1
LBXF08LA,0.146,3,19,1
LBX074LA,0.46416,1,2,1
LBX099LA,0.71072,1,2,1
LBX138LA,0.57784,1,2,1
LBX153LA,0.52128,1,2,1
LBX170LA,0.49028,1,2,1
LBX180LA,0.512,1,2,1
LBX187LA,0.51676,1,2,1
LBX194LA,0.49408,1,2,1
LBXPCBLA,0.52412,1,2,1
LBXHXCLA,0.48024,1,2,1
LBX118LA,0.52048,1,2,1
LBXD03LA,0.6828,1,2,1
LBXD05LA,0.5072,1,2,1
LBXD07LA,0.50304,1,2,1
LBXF03LA,0.49324,1,2,1
LBXF04LA,0.54732,1,2,1
LBXF05LA,0.39164,1,2,1
LBXF08LA,0.68396,1,2,1
LBX074LA,0.296,2,2,1
LBX099LA,0.1916,2,2,1
LBX138LA,0.23436,2,2,1
LBX153LA,0.2872,2,2,1
LBX170LA,0.38148,2,2,1
LBX180LA,0.28324,2,2,1
LBX187LA,0.63712,2,2,1
LBX194LA,0.489,2,2,1
LBXPCBLA,0.18432,2,2,1
LBXHXCLA,0.29204,2,2,1
LBX118LA,0.20792,2,2,1
LBXD03LA,0.23808000000000001,2,2,1
LBXD05LA,0.6426,2,2,1
LBXD07LA,0.22436,2,2,1
LBXF03LA,0.25188,2,2,1
LBXF04LA,0.3726,2,2,1
LBXF05LA,0.39096,2,2,1
LBXF08LA,0.27816,2,2,1
LBX074LA,0.62448,3,2,1
LBX099LA,0.49152,3,2,1
LBX138LA,0.51928,3,2,1
LBX153LA,0.5398,3,2,1
LBX170LA,0.51456,3,2,1
LBX180LA,0.53832,3,2,1
LBX187LA,0.50448,3,2,1
LBX194LA,0.58888,3,2,1
LBXPCBLA,0.73568,3,2,1
LBXHXCLA,0.54608,3,2,1
LBX118LA,0.56684,3,2,1
LBXD03LA,0.54516,3,2,1
LBXD05LA,0.65484,3,2,1
LBXD07LA,0.56372,3,2,1
LBXF03LA,0.55188,3,2,1
LBXF04LA,0.54304,3,2,1
LBXF05LA,0.60452,3,2,1
LBXF08LA,0.71712,3,2,1
LBX074LA,0.37064,1,20,1
LBX099LA,0.17984,1,20,1
LBX138LA,0.2504,1,20,1
LBX153LA,0.1828,1,20,1
LBX170LA,0.241,1,20,1
LBX180LA,0.2016,1,20,1
LBX187LA,0.28348,1,20,1
LBX194LA,0.24892,1,20,1
LBXPCBLA,0.20636,1,20,1
LBXHXCLA,0.12692,1,20,1
LBX118LA,0.40424,1,20,1
LBXD03LA,0.0892,1,20,1
LBXD05LA,0.29496,1,20,1
LBXD07LA,0.13568,1,20,1
LBXF03LA,0.12728,1,20,1
LBXF04LA,0.13036,1,20,1
LBXF05LA,0.16168,1,20,1
LBXF08LA,0.1316,1,20,1
LBX074LA,0.31324,2,20,1
LBX099LA,0.30868,2,20,1
LBX138LA,0.36488,2,20,1
LBX153LA,0.34472,2,20,1
LBX170LA,0.36768,2,20,1
LBX180LA,0.37144,2,20,1
LBX187LA,0.36412,2,20,1
LBX194LA,0.94224,2,20,1
LBXPCBLA,0.51084,2,20,1
LBXHXCLA,0.47876,2,20,1
LBX118LA,0.58412,2,20,1
LBXD03LA,0.69064,2,20,1
LBXD05LA,0.53504,2,20,1
LBXD07LA,0.39548,2,20,1
LBXF03LA,0.42412,2,20,1
LBXF04LA,0.908,2,20,1
