variable,PIP,df,race,trial,case
LBXD03LA,0.62704,2,2,18,1
LBXD05LA,0.29264,2,2,18,1
LBXD07LA,0.12048,2,2,18,1
LBXF03LA,0.08096,2,2,18,1
LBXF04LA,0.91024,2,2,18,1
LBXF05LA,0.24224,2,2,18,1
LBXF08LA,0.1296,2,2,18,1
LBX074LA,0.25872,1,3,18,1
LBX099LA,0.13808,1,3,18,1
LBX138LA,0.33136,1,3,18,1
LBX153LA,0.23376,1,3,18,1
LBX170LA,0.23232,1,3,18,1
LBX180LA,0.30096,1,3,18,1
LBX187LA,0.21696,1,3,18,1
LBX194LA,0.67792,1,3,18,1
LBXPCBLA,0.3984,1,3,18,1
LBXHXCLA,0.13776,1,3,18,1
LBX118LA,0.26224,1,3,18,1
LBXD03LA,0.13248,1,3,18,1
LBXD05LA,0.70672,1,3,18,1
LBXD07LA,0.15728,1,3,18,1
LBXF03LA,0.11344,1,3,18,1
LBXF04LA,0.4944,1,3,18,1
LBXF05LA,0.1464,1,3,18,1
LBXF08LA,0.09648,1,3,18,1
LBX074LA,0.10624,2,1,19,1
LBX099LA,0.23936,2,1,19,1
LBX138LA,0.0704,2,1,19,1
LBX153LA,0.1056,2,1,19,1
LBX170LA,0.10384,2,1,19,1
LBX180LA,0.08656,2,1,19,1
LBX187LA,0.0896,2,1,19,1
LBX194LA,0.16096,2,1,19,1
LBXPCBLA,0.11312,2,1,19,1
LBXHXCLA,0.088,2,1,19,1
LBX118LA,0.1584,2,1,19,1
LBXD03LA,0.05792,2,1,19,1
LBXD05LA,0.11824,2,1,19,1
LBXD07LA,0.20736,2,1,19,1
LBXF03LA,0.16032,2,1,19,1
LBXF04LA,0.23072,2,1,19,1
LBXF05LA,0.85552,2,1,19,1
LBXF08LA,0.08816,2,1,19,1
LBX074LA,0.83328,2,2,19,1
LBX099LA,0.2832,2,2,19,1
LBX138LA,0.19104,2,2,19,1
LBX153LA,0.1776,2,2,19,1
LBX170LA,0.57344,2,2,19,1
LBX180LA,0.21264,2,2,19,1
LBX187LA,0.23104,2,2,19,1
LBX194LA,0.75984,2,2,19,1
LBXPCBLA,0.10704,2,2,19,1
LBXHXCLA,0.20608,2,2,19,1
LBX118LA,0.18752,2,2,19,1
LBXD03LA,0.15552,2,2,19,1
LBXD05LA,0.98576,2,2,19,1
LBXD07LA,0.1008,2,2,19,1
LBXF03LA,0.13104,2,2,19,1
LBXF04LA,0.15696,2,2,19,1
LBXF05LA,0.55664,2,2,19,1
LBXF08LA,0.07424,2,2,19,1
LBX074LA,0.1208,1,3,19,1
LBX099LA,0.10208,1,3,19,1
LBX138LA,0.15808,1,3,19,1
LBX153LA,0.15648,1,3,19,1
LBX170LA,0.14224,1,3,19,1
LBX180LA,0.12832,1,3,19,1
LBX187LA,0.1384,1,3,19,1
LBX194LA,0.90128,1,3,19,1
LBXPCBLA,0.06416,1,3,19,1
LBXHXCLA,0.32304,1,3,19,1
LBX118LA,0.09696,1,3,19,1
LBXD03LA,0.14576,1,3,19,1
LBXD05LA,0.31296,1,3,19,1
LBXD07LA,0.23408,1,3,19,1
LBXF03LA,0.76848,1,3,19,1
LBXF04LA,0.0896,1,3,19,1
LBXF05LA,0.10928,1,3,19,1
LBXF08LA,0.09328,1,3,19,1
LBX074LA,0.12256,3,1,2,1
LBX099LA,0.92976,3,1,2,1
LBX138LA,0.14832,3,1,2,1
LBX153LA,0.13856,3,1,2,1
LBX170LA,0.16576,3,1,2,1
LBX180LA,0.15488,3,1,2,1
LBX187LA,0.14112,3,1,2,1
LBX194LA,0.2648,3,1,2,1
LBXPCBLA,0.13808,3,1,2,1
LBXHXCLA,0.2872,3,1,2,1
LBX118LA,0.12304,3,1,2,1
LBXD03LA,0.43216,3,1,2,1
LBXD05LA,0.15168,3,1,2,1
LBXD07LA,0.21936,3,1,2,1
LBXF03LA,0.1664,3,1,2,1
LBXF04LA,0.81792,3,1,2,1
LBXF05LA,0.11584,3,1,2,1
LBXF08LA,0.17472,3,1,2,1
LBX074LA,0.17856,1,2,2,1
LBX099LA,0.08784,1,2,2,1
LBX138LA,0.12704,1,2,2,1
LBX153LA,0.15984,1,2,2,1
LBX170LA,0.36032,1,2,2,1
LBX180LA,0.18096,1,2,2,1
LBX187LA,0.48672,1,2,2,1
LBX194LA,0.37168,1,2,2,1
LBXPCBLA,0.0704,1,2,2,1
LBXHXCLA,0.124,1,2,2,1
