variable,PIP,race,trial,case
LBXD03LA,0.28384,1,20,1
LBXD05LA,0.43592,1,20,1
LBXD07LA,0.3386,1,20,1
LBXF03LA,0.32444,1,20,1
LBXF04LA,0.3394,1,20,1
LBXF05LA,0.23844,1,20,1
LBXF08LA,0.26984,1,20,1
LBX074LA,0.49604,2,20,1
LBX099LA,0.76864,2,20,1
LBX138LA,0.50116,2,20,1
LBX153LA,0.57432,2,20,1
LBX170LA,0.42956,2,20,1
LBX180LA,0.4576,2,20,1
LBX187LA,0.43284,2,20,1
LBX194LA,0.53824,2,20,1
LBXPCBLA,0.45448,2,20,1
LBXHXCLA,0.43192,2,20,1
LBX118LA,0.4602,2,20,1
LBXD03LA,0.48668,2,20,1
LBXD05LA,0.5928,2,20,1
LBXD07LA,0.39324,2,20,1
LBXF03LA,0.47896,2,20,1
LBXF04LA,0.53336,2,20,1
LBXF05LA,0.43836,2,20,1
LBXF08LA,0.45376,2,20,1
LBX074LA,0.4382,3,20,1
LBX099LA,0.4122,3,20,1
LBX138LA,0.37356,3,20,1
LBX153LA,0.38272,3,20,1
LBX170LA,0.33276,3,20,1
LBX180LA,0.3638,3,20,1
LBX187LA,0.3642,3,20,1
LBX194LA,0.4166,3,20,1
LBXPCBLA,0.28428,3,20,1
LBXHXCLA,0.35548,3,20,1
LBX118LA,0.42804,3,20,1
